num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
13,23,52
21,30,262
4,2,4
121,325,2144
15,27,39
428,843,6351
5,4,5
418,1504,13420
42,41,130
1,11,22
164,493,1665
168,602,2864
11,33,33
207,170,2266
2,2,4
26,24,208
2,2,4
3,4,6
13,4,13
95,158,1114
44,98,382
8,18,28
116,63,1683
8,5,22
4,3,12
2,2,2
30,49,76
2,2,2
7,2,7
4,6,8
24,39,77
82,126,1516
20,15,158
8,8,16
116,155,1967
31,41,92
366,629,3395
63,63,576
6,10,10
21,19,81
2,2,2
2,2,4
2,2,4
90,196,627
101,223,769
2,4,4
11,14,22
232,553,2944
11,11,29
151,559,2805
2,4,4
6,5,6
2,1,2
48,53,939
17,61,104
262,415,3838
267,1047,5936
35,34,71
51,98,235
78,165,657
139,286,1080
4,3,6
2,4,4
29,67,119
6,4,10
12,6,14
13,20,48
28,6,56
36,78,149
19,55,63
23,52,95
9,11,16
6,11,14
40,8,80
2,1,2
2,2,4
4,6,8
28,26,133
7,20,35
6,6,8
2,2,4
34,132,488
9,18,54
24,39,87
2,2,4
5,8,20
3,3,9
117,302,2646
16,23,117
2,4,4
2,2,4
4,8,8
2,1,2
91,181,1073
5,3,7
11,7,49
7,14,92
2,4,4
9,11,14
48,80,320
127,180,972
15,16,32
2,1,2
4,4,8
12,10,44
4,6,6
11,22,30
66,97,475
40,99,155
42,25,194
51,261,649
82,104,752
33,76,262
31,23,76
27,19,73
2,4,4
6,18,36
5,6,10
29,17,247
4,6,6
216,439,4286
42,113,199
26,13,116
1,5,23
66,115,841
126,127,2510
14,15,42
122,70,1758
4,12,12
16,2,16
64,208,647
17,12,204
2,4,4
86,61,1600
7,3,21
2,2,4
13,13,44
6,7,8
11,18,37
29,22,89
76,56,1531
3,2,6
50,19,620
43,95,247
476,619,5578
10,13,28
2,2,4
9,10,25
87,44,799
8,8,32
7,5,9
10,13,34
4,3,4
222,224,2965
117,320,2279
11,10,11
60,92,274
131,203,903
32,49,231
29,24,140
37,20,72
2,6,45
4,8,8
16,13,157
6,1,6
108,254,2330
4,6,8
240,400,2793
3,3,3
394,538,14648
34,38,66
33,48,412
216,645,4977
16,23,47
207,364,2135
26,32,196
2,2,4
3,3,9
33,93,251
4,1,4
9,18,27
2,2,2
7,4,7
110,299,996
107,351,1243
6,4,8
30,38,67
267,540,3782
22,30,34
9,13,16
1,2,3
170,669,3512
2,4,4
11,11,15
5,20,32
2,2,4
4,8,8
171,207,1306
2,2,3
292,1346,8052
38,24,70
3,3,3
44,60,148
99,245,1047
6,8,10
124,792,1909
7,10,14
2,2,2
15,16,39
25,83,125
27,38,93
8,19,25
7,9,9
5,16,20
10,10,20
2,4,4
49,100,1110
27,99,211
35,128,245
36,118,448
2,2,4
24,44,188
5,10,13
10,6,60
179,285,1655
12,28,40
2,4,4
2,2,4
33,26,172
3,3,3
12,5,14
14,6,52
39,6,78
179,320,3352
