num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
59,86,479
363,1593,7426
36,65,142
88,233,455
452,1374,9197
17,45,70
6,8,12
7,18,36
75,139,427
8,12,24
196,658,11873
13,23,41
18,24,30
197,352,1653
52,60,780
176,368,1821
5,6,10
143,391,1203
9,12,18
32,46,165
13,31,39
97,190,1247
212,1160,3235
51,96,224
3,6,6
10,22,32
143,456,1234
43,119,268
107,570,2345
214,381,1962
195,762,2969
42,96,332
6,13,16
18,65,99
3,3,3
266,716,5658
2,4,4
196,184,3573
148,324,2226
3,9,9
12,32,32
50,113,359
41,157,295
4,4,6
105,259,984
4,5,6
84,430,1580
3,3,3
6,12,12
3,6,6
28,94,212
109,167,687
2,2,2
36,83,135
21,60,156
80,295,1002
2,2,2
20,34,54
21,16,60
510,1562,7351
645,1938,5275
120,258,719
349,485,3271
35,62,84
388,3806,9336
30,106,120
288,372,14331
18,41,52
925,4759,18023
663,1369,5718
20,36,75
329,549,7797
204,663,1534
409,2157,8172
2,78,178
125,154,976
131,365,1365
4,54,193
6,8,10
172,131,1999
1,4,32
35,79,120
13,20,46
97,869,1723
164,939,2445
30,59,93
110,266,489
1057,3595,14919
5,141,282
8,92,201
221,771,7788
20,63,132
1020,2361,14024
2,2,2
1,10,21
202,557,1492
66,124,193
317,539,3000
121,277,482
77,184,679
112,136,1350
8,19,22
45,107,203
79,89,739
23,52,166
2,2,2
234,718,3344
109,234,625
2,4,4
11,31,31
24,72,82
139,861,2144
78,159,499
41,189,289
3,34,118
2,2,2
2,2,2
5,10,13
8,42,48
33,272,338
8,16,16
12,18,30
239,658,1499
128,548,4036
571,3016,6789
6,4,6
59,202,383
22,36,85
206,654,4181
322,496,3476
17,36,53
77,143,325
94,51,1257
77,180,607
112,51,1140
14,20,36
17,16,42
63,141,408
148,334,910
14,23,32
298,1570,6303
144,211,3361
51,73,465
34,117,315
96,192,1685
1,13,35
16,56,68
240,485,6331
2,10,19
4,8,8
7,14,14
10,35,139
50,81,268
163,176,2758
375,490,6547
3,8,10
232,771,1971
99,54,583
4,2,11
103,170,957
791,2959,15837
1157,3705,16961
151,1023,2485
144,544,2465
83,242,353
475,881,12184
83,202,602
1,4,4
57,157,212
10,21,24
5,7,9
1807,6956,49092
580,2016,6812
27,20,33
117,641,1106
412,1306,5038
556,1577,14847
8,88,736
111,270,1856
156,603,1412
1,35,243
38,146,311
66,277,415
48,164,230
141,958,1367
214,1296,8799
329,894,6964
56,137,274
185,757,1694
1572,3533,29045
39,331,2224
8,11,295
266,511,9371
49,206,965
680,1665,18593
5,14,62
3,2,3
299,1276,3827
140,420,971
135,248,882
45,47,138
36,74,155
223,169,1770
2,4,4
9,11,12
94,239,839
7,9,11
3,6,6
102,298,1237
83,175,509
5,4,11
105,55,723
49,74,329
17,16,45
2,4,4
4,8,8
2,4,4
9,1,9
10,16,27
45,73,186
3,3,3
51,320,619
4,2,4
164,276,946
10,7,10
47,75,252
39,58,474
83,182,432
29,36,62
15,14,41
166,180,954
2,4,4
36,48,129
28,105,146
11,16,26
2,2,2
131,258,1099
140,252,1462
274,337,7854
8,14,16
12,20,32
6,8,12
3,6,9
1,3,34
7,12,28
3,2,3
5,8,10
38,63,227
116,138,760
2,2,2
14,24,64
43,79,125
31,47,190
21,56,110
35,88,119
81,125,527
7,16,22
15,21,81
5,7,13
129,417,2272
2,2,2
19,69,78
8,29,29
14,25,44
152,197,1251
15,48,60
50,114,335
6,8,12
9,18,23
6,12,15
8,5,11
156,144,1992
2,2,2
3,4,6
23,51,59
331,969,6774
5,7,12
2,2,4
23,75,107
20,31,77
163,292,4000
45,87,117
7,10,12
113,194,494
11,14,19
42,54,340
5,6,8
9,14,18
1,2,2
54,124,397
121,345,993
2,2,2
228,1085,5633
22,48,95
60,147,662
39,65,355
23,39,92
2,14,78
1,7,22
1,2,2
2,2,2
3,2,3
19,44,61
389,383,6669
2,2,2
6,12,12
4,5,15
2,1,2
21,55,83
159,799,2105
29,46,69
5,10,13
42,77,175
129,118,745
8,14,22
8,10,22
12,20,30
26,44,124
46,68,196
4,2,4
99,655,1530
4,6,6
26,39,182
14,12,56
4,12,16
5,15,25
2,4,4
3,9,25
6,5,15
69,201,689
313,461,5736
9,18,18
5,7,13
4,3,5
53,162,888
49,68,414
183,389,1383
55,62,164
37,52,176
236,298,2005
2,4,4
19,30,36
113,184,1056
10,28,40
3,6,6
139,418,1584
115,288,800
6,9,18
106,23,730
2,4,4
65,234,642
30,101,155
2,4,4
3,9,9
2,4,4
6,6,12
5,13,13
84,184,382
92,684,1346
271,941,1980
2,2,2
3,3,3
54,98,317
47,52,607
136,307,696
126,246,849
9,12,26
193,173,1117
8,7,16
192,540,2748
51,159,291
17,30,70
12,12,35
93,234,689
300,331,2616
18,41,70
327,293,8344
13,20,29
42,109,165
6,12,15
21,33,49
159,16,2007
1,3,3
9,8,43
2,4,4
6,3,6
3,6,6
49,64,291
424,784,7508
3,2,3
15,22,37
53,113,232
2,2,2
57,127,437
52,134,374
505,564,13340
1172,1647,25513
179,484,5251
20,57,82
88,172,542
400,298,16115
199,232,2334
17,72,88
35,46,178
1212,1576,50881
339,889,5211
12,35,53
119,240,1051
254,461,5049
580,776,18865
5,42,736
106,72,2043
127,237,1210
1,21,368
14,41,50
83,238,1176
21,28,44
263,540,6494
319,1140,19880
238,160,5467
5,2,5
12,12,14
86,401,937
259,470,3124
45,252,4416
14,6,338
145,325,2987
40,44,1354
159,614,3813
9,12,125
299,951,6424
63,60,831
169,156,4145
34,54,88
8,10,16
138,297,738
58,38,395
15,23,36
2,1,2
76,159,544
90,224,804
3,3,9
259,1294,6834
26,64,154
61,220,765
41,45,387
22,62,134
2,10,86
1,8,26
4,8,16
2,2,2
36,72,131
192,202,1642
8,14,14
19,37,77
5,10,13
191,465,2480
43,74,117
11,14,23
42,119,199
9,31,39
143,204,949
9,11,21
16,23,35
21,78,145
68,146,313
5,3,5
133,1000,2558
9,7,21
34,72,331
18,30,90
7,20,24
7,25,35
1,8,25
7,8,12
4,4,4
88,257,903
330,535,6171
3,9,9
4,3,6
51,110,912
9,18,22
228,513,1937
40,55,99
49,102,313
95,294,1180
3,9,9
20,32,61
125,209,1225
16,43,68
2,4,4
148,402,1960
116,266,864
111,24,745
9,29,29
81,301,802
43,92,240
9,14,20
1,14,38
2,4,4
5,13,13
7,15,18
7,11,19
2,2,2
3,6,6
12,26,31
110,189,537
120,1066,2727
344,1114,2765
2,2,2
4,3,4
56,81,378
56,99,665
193,517,1115
154,465,1384
8,16,22
208,222,1263
8,8,24
195,364,3205
67,149,448
13,21,55
4,4,6
116,303,983
254,307,2230
22,32,81
136,179,883
21,30,46
60,153,297
20,35,38
18,32,48
4,8,8
1,4,4
1,7,8
2,4,4
6,3,6
11,18,30
62,146,419
488,929,8508
2,2,2
3,3,3
22,50,74
99,353,609
2,2,2
77,159,562
62,164,574
173,116,4308
18,33,40
9,10,18
132,300,771
3,3,3
32,55,100
7,12,14
12,15,30
101,154,754
115,289,1109
260,771,7327
30,47,176
53,29,772
51,39,517
21,35,147
2,6,92
1,5,31
3,6,6
5,15,25
3,2,6
1,3,3
4,8,8
49,120,301
127,144,651
7,15,35
7,12,14
18,23,42
27,33,127
11,28,36
221,762,3794
27,41,61
9,11,17
68,154,320
10,33,46
149,83,1018
9,12,26
12,9,27
33,63,207
82,157,438
13,17,25
160,1049,3293
11,12,32
33,80,360
26,80,208
15,28,59
8,15,40
3,4,6
1,9,12
7,12,37
4,6,6
3,6,9
6,4,6
92,130,939
316,484,5785
5,5,11
3,9,9
4,5,10
8,7,19
3,4,6
262,497,2422
62,150,248
67,151,449
100,103,1223
5,4,11
36,56,118
144,120,1346
19,33,99
172,273,2181
135,211,1040
2,4,4
5,7,7
16,45,47
107,463,1257
62,137,338
26,74,106
1,20,51
5,5,5
3,6,9
7,13,19
15,108,135
2,2,2
3,6,6
14,29,47
170,397,960
132,837,3433
416,1747,4294
2,2,2
5,3,5
76,156,597
62,84,727
133,204,707
55,99,198
24,67,87
207,208,1518
36,13,116
77,223,676
8,12,18
97,306,1025
114,241,1287
7,4,10
110,101,722
7,10,14
46,79,253
14,26,28
6,20,24
2,4,4
1,4,4
2,4,4
9,3,9
28,30,240
51,102,241
27,234,243
131,343,731
5,5,5
39,81,159
40,98,410
104,338,765
97,346,1364
2,4,4
20,52,67
85,72,265
3,9,9
2,2,2
29,68,95
55,104,216
10,28,70
44,256,336
26,76,117
10,27,27
8,9,11
3,9,9
3,14,17
5,7,13
2,4,4
45,223,353
422,588,8499
2,2,2
4,4,12
2,4,4
3,2,6
35,232,574
45,107,345
