date,REGION_N,num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
2016-01-04,CENTRAL REGION,447,875,4267
2016-01-04,EAST REGION,784,2235,12136
2016-01-04,NORTH REGION,177,316,1831
2016-01-04,NORTH-EAST REGION,413,744,4807
2016-01-04,WEST REGION,38,41,115
2016-01-05,CENTRAL REGION,93,120,257
2016-01-05,EAST REGION,186,314,1195
2016-01-05,NORTH REGION,38,136,496
2016-01-05,NORTH-EAST REGION,53,88,206
2016-01-05,WEST REGION,81,148,282
2016-01-06,CENTRAL REGION,132,328,2754
2016-01-06,EAST REGION,35,46,136
2016-01-06,NORTH REGION,102,196,1091
2016-01-06,NORTH-EAST REGION,32,45,180
2016-01-06,WEST REGION,10,15,33
2016-01-07,CENTRAL REGION,272,363,1773
2016-01-07,EAST REGION,196,312,1244
2016-01-07,NORTH REGION,221,259,3598
2016-01-07,NORTH-EAST REGION,310,628,4771
2016-01-07,WEST REGION,119,324,942
2016-01-09,CENTRAL REGION,179,288,2300
2016-01-09,EAST REGION,211,139,3333
2016-01-09,NORTH REGION,59,28,634
2016-01-09,NORTH-EAST REGION,71,67,372
2016-01-09,WEST REGION,2,4,4
2016-01-10,CENTRAL REGION,499,593,4559
2016-01-10,EAST REGION,907,1177,20298
2016-01-10,NORTH REGION,360,950,7722
2016-01-10,NORTH-EAST REGION,412,828,5378
2016-01-10,WEST REGION,177,166,1131
2016-01-11,CENTRAL REGION,505,981,5167
2016-01-11,EAST REGION,669,2379,13699
2016-01-11,NORTH REGION,145,307,1199
2016-01-11,NORTH-EAST REGION,300,593,2608
2016-01-11,WEST REGION,85,160,362
2016-01-12,CENTRAL REGION,56,143,201
2016-01-12,EAST REGION,170,920,2377
2016-01-12,NORTH REGION,78,154,1311
2016-01-12,NORTH-EAST REGION,95,273,559
2016-01-12,WEST REGION,17,18,41
2016-01-13,CENTRAL REGION,286,427,3705
2016-01-13,EAST REGION,260,325,1914
2016-01-13,NORTH REGION,100,299,1277
2016-01-13,NORTH-EAST REGION,46,48,148
2016-01-13,WEST REGION,93,90,400
2016-01-14,CENTRAL REGION,263,304,1982
2016-01-14,EAST REGION,219,314,1472
2016-01-14,NORTH REGION,132,128,2670
2016-01-14,NORTH-EAST REGION,187,421,2148
2016-01-14,WEST REGION,48,174,736
2016-01-15,CENTRAL REGION,297,341,3071
2016-01-15,EAST REGION,518,372,15102
2016-01-15,NORTH REGION,203,495,4217
2016-01-15,NORTH-EAST REGION,307,572,5064
2016-01-15,WEST REGION,93,118,420
2016-01-16,CENTRAL REGION,61,81,333
2016-01-16,EAST REGION,195,375,2141
2016-01-16,NORTH REGION,22,92,224
2016-01-16,NORTH-EAST REGION,28,41,143
2016-01-16,WEST REGION,13,11,16
2016-01-17,CENTRAL REGION,27,28,324
2016-01-17,EAST REGION,65,38,259
2016-01-17,NORTH REGION,74,77,1804
2016-01-17,NORTH-EAST REGION,15,13,26
2016-01-17,WEST REGION,5,4,5
2016-01-18,CENTRAL REGION,609,1186,6498
2016-01-18,EAST REGION,991,2646,18875
2016-01-18,NORTH REGION,243,710,3227
2016-01-18,NORTH-EAST REGION,412,997,3856
2016-01-18,WEST REGION,98,188,517
2016-01-19,CENTRAL REGION,41,73,281
2016-01-19,EAST REGION,175,269,1798
2016-01-19,NORTH REGION,55,364,1007
2016-01-19,NORTH-EAST REGION,47,48,131
2016-01-19,WEST REGION,83,95,414
2016-01-20,CENTRAL REGION,123,75,3170
2016-01-20,EAST REGION,59,120,329
2016-01-20,NORTH REGION,64,177,867
2016-01-20,NORTH-EAST REGION,19,50,89
2016-01-20,WEST REGION,4,6,8
2016-01-21,EAST REGION,10,17,18
2016-01-21,NORTH-EAST REGION,9,42,63
2016-01-21,WEST REGION,5,3,7
2016-01-22,CENTRAL REGION,208,347,1829
2016-01-22,EAST REGION,256,704,2345
2016-01-22,NORTH REGION,59,183,429
2016-01-22,NORTH-EAST REGION,194,703,2839
2016-01-22,WEST REGION,54,43,832
2016-01-23,CENTRAL REGION,375,752,3288
2016-01-23,EAST REGION,368,634,3144
2016-01-23,NORTH REGION,271,656,5326
2016-01-23,NORTH-EAST REGION,401,946,6739
2016-01-23,WEST REGION,127,239,508
2016-01-24,CENTRAL REGION,144,398,1807
2016-01-24,EAST REGION,95,122,355
2016-01-24,NORTH REGION,142,335,2357
2016-01-24,NORTH-EAST REGION,25,46,94
2016-01-24,WEST REGION,12,21,23
2016-01-25,CENTRAL REGION,223,306,2498
2016-01-25,EAST REGION,173,204,2839
2016-01-25,NORTH REGION,68,77,589
2016-01-25,NORTH-EAST REGION,54,99,282
2016-01-25,WEST REGION,8,12,18
2016-01-26,CENTRAL REGION,510,1214,6312
2016-01-26,EAST REGION,993,2807,20180
2016-01-26,NORTH REGION,315,1360,5476
2016-01-26,NORTH-EAST REGION,394,1149,4497
2016-01-26,WEST REGION,184,257,952
2016-01-27,CENTRAL REGION,8,8,12
2016-01-27,EAST REGION,2,2,4
2016-01-27,NORTH REGION,2,4,4
2016-01-27,NORTH-EAST REGION,23,47,85
2016-01-27,WEST REGION,24,56,168
2016-01-28,EAST REGION,7,8,15
2016-01-28,NORTH REGION,2,2,2
2016-01-28,NORTH-EAST REGION,16,35,116
2016-01-28,WEST REGION,2,2,4
2016-01-29,CENTRAL REGION,266,551,1571
2016-01-29,EAST REGION,473,942,5392
2016-01-29,NORTH REGION,75,84,675
2016-01-29,NORTH-EAST REGION,212,338,3182
2016-01-29,WEST REGION,70,124,215
2016-01-30,CENTRAL REGION,152,395,2324
2016-01-30,EAST REGION,198,680,1368
2016-01-30,NORTH REGION,145,306,1683
2016-01-30,NORTH-EAST REGION,64,150,252
2016-01-30,WEST REGION,16,20,25
2016-01-31,CENTRAL REGION,17,19,51
2016-01-31,EAST REGION,25,9,61
2016-01-31,NORTH REGION,80,81,2160
2016-01-31,NORTH-EAST REGION,9,11,21
2016-01-31,WEST REGION,4,3,12
2017-01-02,EAST REGION,3,4,6
2017-01-02,NORTH REGION,5,5,7
2017-01-02,NORTH-EAST REGION,8,8,34
2017-01-03,CENTRAL REGION,16,24,30
2017-01-03,EAST REGION,25,27,84
2017-01-03,NORTH REGION,9,21,32
2017-01-03,NORTH-EAST REGION,25,34,106
2017-01-03,WEST REGION,59,45,329
2017-01-04,CENTRAL REGION,8,10,16
2017-01-04,EAST REGION,61,9,326
2017-01-04,NORTH REGION,2,2,4
2017-01-04,NORTH-EAST REGION,43,53,373
2017-01-04,WEST REGION,3,2,6
2017-01-05,CENTRAL REGION,2,1,2
2017-01-05,EAST REGION,16,13,46
2017-01-05,NORTH REGION,4,4,8
2017-01-05,WEST REGION,22,85,114
2017-01-06,CENTRAL REGION,11,10,21
2017-01-06,EAST REGION,74,49,349
2017-01-06,NORTH REGION,2,1,2
2017-01-06,NORTH-EAST REGION,6,4,14
2017-01-06,WEST REGION,7,9,15
2017-01-07,CENTRAL REGION,10,15,30
2017-01-07,EAST REGION,9,12,28
2017-01-08,WEST REGION,3,2,6
2017-01-09,CENTRAL REGION,12,8,14
2017-01-09,EAST REGION,23,49,77
2017-01-09,NORTH-EAST REGION,12,23,46
2017-01-09,WEST REGION,43,24,266
2017-01-10,CENTRAL REGION,8,9,11
2017-01-10,EAST REGION,35,45,141
2017-01-10,NORTH REGION,21,23,70
2017-01-10,NORTH-EAST REGION,24,95,154
2017-01-10,WEST REGION,11,2,22
2017-01-11,CENTRAL REGION,2,4,4
2017-01-11,EAST REGION,4,6,8
2017-01-11,NORTH REGION,2,4,4
2017-01-11,NORTH-EAST REGION,32,31,274
2017-01-11,WEST REGION,3,2,6
2017-01-12,CENTRAL REGION,8,6,12
2017-01-12,NORTH-EAST REGION,2,2,4
2017-01-12,WEST REGION,28,70,169
2017-01-13,CENTRAL REGION,23,23,49
2017-01-13,EAST REGION,32,32,188
2017-01-13,NORTH REGION,5,5,5
2017-01-13,WEST REGION,7,6,15
2017-01-14,CENTRAL REGION,2,1,2
2017-01-14,EAST REGION,60,26,201
2017-01-14,NORTH REGION,8,8,16
2017-01-14,NORTH-EAST REGION,25,91,186
2017-01-15,CENTRAL REGION,2,4,4
2017-01-15,EAST REGION,6,6,9
2017-01-15,NORTH-EAST REGION,3,6,9
2017-01-15,WEST REGION,2,2,2
2017-01-16,CENTRAL REGION,19,20,33
2017-01-16,EAST REGION,40,74,170
2017-01-16,NORTH-EAST REGION,26,46,99
2017-01-16,WEST REGION,2,4,4
2017-01-17,CENTRAL REGION,8,5,10
2017-01-17,EAST REGION,37,48,188
2017-01-17,NORTH REGION,2,2,2
2017-01-17,NORTH-EAST REGION,6,18,18
2017-01-17,WEST REGION,4,2,4
2017-01-18,CENTRAL REGION,3,3,3
2017-01-18,EAST REGION,64,14,420
2017-01-18,NORTH-EAST REGION,8,10,16
2017-01-18,WEST REGION,2,4,4
2017-01-19,CENTRAL REGION,4,3,4
2017-01-19,EAST REGION,10,9,12
2017-01-19,NORTH-EAST REGION,4,9,12
2017-01-19,WEST REGION,14,14,49
2017-01-20,CENTRAL REGION,9,9,16
2017-01-20,EAST REGION,81,44,506
2017-01-20,NORTH REGION,4,4,8
2017-01-20,WEST REGION,4,4,6
2017-01-21,CENTRAL REGION,2,2,2
2017-01-21,EAST REGION,9,4,11
2017-01-21,NORTH-EAST REGION,36,74,272
2017-01-22,CENTRAL REGION,2,2,4
2017-01-22,EAST REGION,7,6,14
2017-01-22,NORTH REGION,2,4,4
2017-01-22,WEST REGION,9,7,11
2017-01-23,CENTRAL REGION,19,10,30
2017-01-23,EAST REGION,51,65,197
2017-01-23,NORTH REGION,2,2,2
2017-01-23,NORTH-EAST REGION,28,38,129
2017-01-23,WEST REGION,6,4,8
2017-01-24,EAST REGION,36,22,198
2017-01-24,NORTH REGION,7,6,11
2017-01-24,NORTH-EAST REGION,15,32,47
2017-01-24,WEST REGION,4,8,8
2017-01-25,EAST REGION,3,6,9
2017-01-25,NORTH-EAST REGION,10,13,23
2017-01-25,WEST REGION,2,2,4
2017-01-26,CENTRAL REGION,6,5,12
2017-01-26,EAST REGION,10,19,28
2017-01-26,NORTH-EAST REGION,8,15,18
2017-01-26,WEST REGION,6,13,16
2017-01-27,CENTRAL REGION,15,18,31
2017-01-27,EAST REGION,67,29,346
2017-01-27,NORTH REGION,4,4,8
2017-01-27,NORTH-EAST REGION,3,3,3
2017-01-28,CENTRAL REGION,4,6,8
2017-01-28,EAST REGION,15,20,56
2017-01-28,NORTH REGION,4,8,16
2017-01-28,NORTH-EAST REGION,13,30,50
2017-01-28,WEST REGION,22,38,80
2017-01-29,CENTRAL REGION,2,1,2
2017-01-29,EAST REGION,13,26,35
2017-01-29,NORTH REGION,4,4,8
2017-01-29,NORTH-EAST REGION,38,60,328
2017-01-29,WEST REGION,8,7,16
2017-01-30,CENTRAL REGION,8,12,19
2017-01-30,EAST REGION,44,43,152
2017-01-30,NORTH REGION,2,2,2
2017-01-30,WEST REGION,2,4,4
2017-01-31,CENTRAL REGION,17,8,21
2017-01-31,EAST REGION,55,36,299
2017-01-31,NORTH REGION,2,2,4
2017-01-31,NORTH-EAST REGION,22,23,42
2017-01-31,WEST REGION,5,4,10
2018-01-01,CENTRAL REGION,4,5,6
2018-01-01,EAST REGION,2,2,4
2018-01-01,NORTH REGION,66,52,630
2018-01-01,NORTH-EAST REGION,3,3,3
2018-01-01,WEST REGION,2,4,4
2018-01-02,CENTRAL REGION,17,21,35
2018-01-02,EAST REGION,44,56,186
2018-01-02,NORTH-EAST REGION,25,65,103
2018-01-02,WEST REGION,13,14,27
2018-01-03,CENTRAL REGION,53,77,314
2018-01-03,EAST REGION,86,136,886
2018-01-03,NORTH REGION,79,92,602
2018-01-03,NORTH-EAST REGION,7,9,11
2018-01-03,WEST REGION,17,19,41
2018-01-04,CENTRAL REGION,13,22,33
2018-01-04,EAST REGION,74,47,844
2018-01-04,NORTH REGION,2,2,4
2018-01-04,WEST REGION,97,25,2031
2018-01-05,CENTRAL REGION,13,20,24
2018-01-05,EAST REGION,61,202,418
2018-01-05,NORTH REGION,25,41,114
2018-01-05,NORTH-EAST REGION,108,22,738
2018-01-05,WEST REGION,21,11,42
2018-01-06,CENTRAL REGION,4,8,8
2018-01-06,EAST REGION,4,6,12
2018-01-06,NORTH REGION,14,15,46
2018-01-07,CENTRAL REGION,6,4,24
2018-01-07,EAST REGION,40,64,262
2018-01-07,WEST REGION,84,362,900
2018-01-08,CENTRAL REGION,6,6,12
2018-01-08,EAST REGION,2,2,4
2018-01-08,NORTH REGION,21,30,74
2018-01-08,NORTH-EAST REGION,5,5,7
2018-01-08,WEST REGION,2,2,4
2018-01-09,CENTRAL REGION,11,16,22
2018-01-09,EAST REGION,45,46,211
2018-01-09,NORTH REGION,3,4,6
2018-01-09,NORTH-EAST REGION,19,62,113
2018-01-09,WEST REGION,17,25,41
2018-01-10,CENTRAL REGION,72,94,396
