date,REGION_N,num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
2019-01-26,WEST REGION,417,1659,5462
2019-01-27,CENTRAL REGION,460,986,6070
2019-01-27,EAST REGION,721,1545,7511
2019-01-27,NORTH REGION,413,1676,7596
2019-01-27,NORTH-EAST REGION,970,1581,14166
2019-01-27,WEST REGION,599,1438,22502
2019-01-29,CENTRAL REGION,100,179,373
2019-01-29,EAST REGION,646,1861,10624
2019-01-29,NORTH REGION,199,606,1541
2019-01-29,NORTH-EAST REGION,603,1947,6608
2019-01-29,WEST REGION,518,1256,14954
2019-01-30,CENTRAL REGION,689,2036,9974
2019-01-30,EAST REGION,355,723,3081
2019-01-30,NORTH REGION,46,58,122
2019-01-30,NORTH-EAST REGION,396,1160,5476
2019-01-30,WEST REGION,345,924,6136
2020-01-03,CENTRAL REGION,3310,13057,50026
2020-01-03,EAST REGION,1039,2844,15094
2020-01-03,NORTH REGION,306,832,1979
2020-01-03,NORTH-EAST REGION,2375,6871,28597
2020-01-03,WEST REGION,1395,5301,34885
2020-01-05,CENTRAL REGION,1302,5667,15106
2020-01-05,EAST REGION,251,827,4520
2020-01-05,NORTH REGION,89,254,484
2020-01-05,NORTH-EAST REGION,679,1451,5156
2020-01-05,WEST REGION,199,334,1760
2020-01-06,CENTRAL REGION,747,1052,9533
2020-01-06,EAST REGION,796,1762,11797
2020-01-06,NORTH REGION,153,251,1225
2020-01-06,NORTH-EAST REGION,896,1662,14404
2020-01-06,WEST REGION,501,1954,7356
2020-01-07,CENTRAL REGION,4863,17805,115896
2020-01-07,EAST REGION,1489,4493,26747
2020-01-07,NORTH REGION,504,1848,5371
2020-01-07,NORTH-EAST REGION,3176,9429,53618
2020-01-07,WEST REGION,838,2280,16089
2020-01-08,CENTRAL REGION,476,999,3575
2020-01-08,EAST REGION,96,367,757
2020-01-08,NORTH REGION,89,136,729
2020-01-08,NORTH-EAST REGION,282,513,1613
2020-01-08,WEST REGION,362,261,2543
2020-01-09,CENTRAL REGION,245,502,1475
2020-01-09,EAST REGION,47,69,169
2020-01-09,NORTH REGION,59,113,312
2020-01-09,NORTH-EAST REGION,387,649,2912
2020-01-09,WEST REGION,489,583,8965
2020-01-10,CENTRAL REGION,62,99,152
2020-01-10,EAST REGION,242,276,2531
2020-01-10,NORTH REGION,43,106,184
2020-01-10,NORTH-EAST REGION,543,1307,8205
2020-01-10,WEST REGION,236,698,2855
2020-01-13,CENTRAL REGION,234,485,1736
2020-01-13,EAST REGION,46,94,139
2020-01-13,NORTH REGION,24,57,86
2020-01-13,NORTH-EAST REGION,692,1064,11723
2020-01-13,WEST REGION,401,1357,6506
2020-01-14,CENTRAL REGION,103,164,472
2020-01-14,EAST REGION,40,68,91
2020-01-14,NORTH REGION,102,230,1302
2020-01-14,NORTH-EAST REGION,590,1538,8751
2020-01-14,WEST REGION,298,885,2511
2020-01-15,CENTRAL REGION,672,1961,5630
2020-01-15,EAST REGION,147,746,1510
2020-01-15,NORTH REGION,101,150,924
2020-01-15,NORTH-EAST REGION,387,874,2578
2020-01-15,WEST REGION,385,399,2840
2020-01-17,CENTRAL REGION,298,703,1516
2020-01-17,EAST REGION,301,287,2896
2020-01-17,NORTH REGION,115,269,820
2020-01-17,NORTH-EAST REGION,924,1497,11160
2020-01-17,WEST REGION,761,1091,12386
2020-01-18,CENTRAL REGION,3829,6864,128753
2020-01-18,EAST REGION,1400,2210,29676
2020-01-18,NORTH REGION,388,1029,7607
2020-01-18,NORTH-EAST REGION,1215,2354,22661
2020-01-18,WEST REGION,612,760,17692
2020-01-20,CENTRAL REGION,250,594,2118
2020-01-20,EAST REGION,35,62,114
2020-01-20,NORTH REGION,24,47,90
2020-01-20,NORTH-EAST REGION,487,654,6722
2020-01-20,WEST REGION,475,1656,8014
2020-01-21,CENTRAL REGION,126,294,729
2020-01-21,EAST REGION,43,74,117
2020-01-21,NORTH REGION,64,132,938
2020-01-21,NORTH-EAST REGION,678,1411,9892
2020-01-21,WEST REGION,352,1363,3773
2020-01-22,CENTRAL REGION,831,2325,7451
2020-01-22,EAST REGION,160,1121,2826
2020-01-22,NORTH REGION,115,186,1049
2020-01-22,NORTH-EAST REGION,470,1000,3375
2020-01-22,WEST REGION,250,402,2064
2020-01-24,CENTRAL REGION,421,1085,2521
2020-01-24,EAST REGION,181,527,1470
2020-01-24,NORTH REGION,153,344,1169
2020-01-24,NORTH-EAST REGION,1004,1909,12286
2020-01-24,WEST REGION,580,824,5495
2020-01-27,CENTRAL REGION,311,390,2583
2020-01-27,EAST REGION,26,53,106
2020-01-27,NORTH REGION,42,69,171
2020-01-27,NORTH-EAST REGION,467,675,6375
2020-01-27,WEST REGION,436,1141,8228
2020-01-28,CENTRAL REGION,155,343,993
2020-01-28,EAST REGION,36,59,90
2020-01-28,NORTH REGION,17,15,31
2020-01-28,NORTH-EAST REGION,718,1545,10993
2020-01-28,WEST REGION,415,1329,4719
2020-01-29,CENTRAL REGION,1041,3161,10243
2020-01-29,EAST REGION,194,987,3681
2020-01-29,NORTH REGION,141,246,1330
2020-01-29,NORTH-EAST REGION,588,1141,4476
2020-01-29,WEST REGION,169,208,1458
2020-01-30,CENTRAL REGION,404,1078,2842
2020-01-30,EAST REGION,85,341,449
2020-01-30,NORTH REGION,79,179,569
2020-01-30,NORTH-EAST REGION,335,580,2484
2020-01-30,WEST REGION,373,343,2389
2020-01-31,CENTRAL REGION,87,206,282
2020-01-31,EAST REGION,101,350,1376
2020-01-31,NORTH REGION,82,343,923
2020-01-31,NORTH-EAST REGION,629,1267,9850
2020-01-31,WEST REGION,167,421,755
