Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C)
27.676001064254354,7.53492529166951,2.85,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,1.1285714285714286,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,39.357142857142854,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.7285714285714285,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,7.214285714285714,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,1.1428571428571428,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.08571428571428572,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.7999999999999999,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,2.0142857142857142,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.2714285714285714,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,1.6285714285714286,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,6.328571428571428,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.8285714285714285,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,10.742857142857144,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,2.1142857142857143,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,16.842857142857145,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,1.5714285714285714,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,2.6142857142857143,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,18.385714285714283,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,0.0,31.522349341492614,32.8,24.924584275641877
27.676001064254358,7.53492529166951,1.0857142857142856,31.522349341492614,32.8,24.924584275641877
